dataset,seed,method,original_label,eligible,first_task,first_recall,final_recall,peak_minus_final,first_minus_final
HK,1994,C0,22,True,1,100.0,0.0,100.0,100.0
HK,1995,F1,0,True,8,71.42857142857143,71.42857142857143,0.0,0.0
HK,1995,F1,1,True,4,100.0,93.80530973451327,6.194690265486727,6.194690265486727
HK,1995,F1,2,True,10,100.0,82.41758241758242,17.582417582417577,17.582417582417577
HK,1995,F1,3,True,9,98.72611464968153,80.89171974522293,17.834394904458605,17.834394904458605
HK,1995,F1,4,False,11,87.27272727272727,87.27272727272727,,
HK,1995,F1,5,True,3,0.0,0.0,0.0,0.0
HK,1995,F1,6,True,7,0.0,0.0,0.0,0.0
HK,1995,F1,7,False,11,100.0,100.0,,
HK,1995,F1,8,True,5,100.0,98.03921568627452,1.9607843137254832,1.9607843137254832
HK,1995,F1,9,True,1,100.0,98.78048780487805,1.2195121951219505,1.2195121951219505
HK,1995,F1,10,False,11,74.66666666666667,74.66666666666667,,
HK,1995,F1,11,True,9,52.459016393442624,21.311475409836067,31.147540983606557,31.147540983606557
HK,1995,F1,12,True,4,85.36585365853658,82.92682926829268,2.439024390243901,2.439024390243901
HK,1995,F1,13,True,1,96.875,95.0,1.875,1.875
HK,1995,F1,14,True,2,100.0,93.33333333333333,6.666666666666671,6.666666666666671
HK,1995,F1,15,True,3,99.1869918699187,99.1869918699187,0.0,0.0
HK,1995,F1,16,True,2,100.0,37.5,62.5,62.5
HK,1995,F1,17,True,6,80.0,60.0,20.0,20.0
HK,1995,F1,18,True,7,33.333333333333336,39.39393939393939,0.0,-6.060606060606055
HK,1995,F1,19,True,6,0.0,0.0,0.0,0.0
HK,1995,F1,20,True,8,34.84848484848485,18.181818181818183,16.666666666666668,16.666666666666668
HK,1995,F1,21,True,10,0.0,0.0,0.0,0.0
HK,1995,F1,22,True,5,100.0,76.19047619047619,23.80952380952381,23.80952380952381
HK,1995,P,0,True,8,71.42857142857143,71.42857142857143,0.0,0.0
HK,1995,P,1,True,4,100.0,94.69026548672566,5.309734513274336,5.309734513274336
HK,1995,P,2,True,10,100.0,82.41758241758242,17.582417582417577,17.582417582417577
HK,1995,P,3,True,9,99.36305732484077,82.1656050955414,17.197452229299373,17.197452229299373
HK,1995,P,4,False,11,87.27272727272727,87.27272727272727,,
HK,1995,P,5,True,3,0.0,0.0,0.0,0.0
HK,1995,P,6,True,7,0.0,0.0,0.0,0.0
HK,1995,P,7,False,11,100.0,100.0,,
HK,1995,P,8,True,5,100.0,97.38562091503267,2.614379084967325,2.614379084967325
HK,1995,P,9,True,1,100.0,98.78048780487805,1.2195121951219505,1.2195121951219505
HK,1995,P,10,False,11,78.66666666666667,78.66666666666667,,
HK,1995,P,11,True,9,50.81967213114754,22.950819672131146,27.868852459016395,27.868852459016395
HK,1995,P,12,True,4,85.36585365853658,82.92682926829268,2.439024390243901,2.439024390243901
HK,1995,P,13,True,1,96.875,94.375,2.5,2.5
HK,1995,P,14,True,2,100.0,90.0,10.0,10.0
HK,1995,P,15,True,3,99.1869918699187,99.1869918699187,0.0,0.0
HK,1995,P,16,True,2,100.0,37.5,62.5,62.5
HK,1995,P,17,True,6,100.0,60.0,40.0,40.0
HK,1995,P,18,True,7,39.39393939393939,33.333333333333336,6.060606060606055,6.060606060606055
HK,1995,P,19,True,6,0.0,0.0,0.0,0.0
HK,1995,P,20,True,8,31.818181818181817,16.666666666666668,15.151515151515149,15.151515151515149
HK,1995,P,21,True,10,0.0,0.0,0.0,0.0
HK,1995,P,22,True,5,100.0,76.19047619047619,23.80952380952381,23.80952380952381
HK,1995,C0,0,True,8,100.0,0.0,100.0,100.0
HK,1995,C0,1,True,4,100.0,0.0,100.0,100.0
HK,1995,C0,2,True,10,100.0,1.6483516483516483,98.35164835164835,98.35164835164835
HK,1995,C0,3,True,9,100.0,0.0,100.0,100.0
HK,1995,C0,4,False,11,100.0,100.0,,
HK,1995,C0,5,True,3,0.0,0.0,100.0,0.0
HK,1995,C0,6,True,7,0.0,0.0,0.0,0.0
HK,1995,C0,7,False,11,100.0,100.0,,
HK,1995,C0,8,True,5,99.34640522875817,0.0,99.34640522875817,99.34640522875817
HK,1995,C0,9,True,1,100.0,0.0,100.0,100.0
HK,1995,C0,10,False,11,100.0,100.0,,
HK,1995,C0,11,True,9,100.0,0.0,100.0,100.0
HK,1995,C0,12,True,4,100.0,0.0,100.0,100.0
HK,1995,C0,13,True,1,96.875,0.0,96.875,96.875
HK,1995,C0,14,True,2,100.0,0.0,100.0,100.0
HK,1995,C0,15,True,3,99.1869918699187,0.0,99.1869918699187,99.1869918699187
HK,1995,C0,16,True,2,100.0,0.0,100.0,100.0
HK,1995,C0,17,True,6,100.0,0.0,100.0,100.0
HK,1995,C0,18,True,7,78.78787878787878,0.0,78.78787878787878,78.78787878787878
HK,1995,C0,19,True,6,0.0,0.0,0.0,0.0
HK,1995,C0,20,True,8,98.48484848484848,0.0,98.48484848484848,98.48484848484848
HK,1995,C0,21,True,10,100.0,25.0,75.0,75.0
HK,1995,C0,22,True,5,95.23809523809524,0.0,95.23809523809524,95.23809523809524
ISIC,1993,F1,0,True,1,100.0,79.54545454545455,20.454545454545453,20.454545454545453
ISIC,1993,F1,1,False,4,54.054054054054056,54.054054054054056,,
ISIC,1993,F1,2,False,4,41.30434782608695,41.30434782608695,,
ISIC,1993,F1,3,True,2,65.0,47.5,17.5,17.5
ISIC,1993,F1,4,True,1,95.1219512195122,60.97560975609756,34.146341463414636,34.146341463414636
ISIC,1993,F1,5,True,3,51.351351351351354,45.945945945945944,5.405405405405411,5.405405405405411
ISIC,1993,F1,6,True,3,92.3076923076923,88.46153846153847,3.8461538461538396,3.8461538461538396
ISIC,1993,F1,7,True,2,58.333333333333336,54.166666666666664,4.166666666666671,4.166666666666671
ISIC,1993,P,0,True,1,95.45454545454545,75.0,20.454545454545453,20.454545454545453
ISIC,1993,P,1,False,4,51.351351351351354,51.351351351351354,,
ISIC,1993,P,2,False,4,43.47826086956522,43.47826086956522,,
ISIC,1993,P,3,True,2,52.5,32.5,20.0,20.0
ISIC,1993,P,4,True,1,95.1219512195122,56.09756097560975,39.024390243902445,39.024390243902445
ISIC,1993,P,5,True,3,48.648648648648646,43.24324324324324,5.4054054054054035,5.4054054054054035
ISIC,1993,P,6,True,3,88.46153846153847,92.3076923076923,0.0,-3.8461538461538396
ISIC,1993,P,7,True,2,50.0,50.0,4.166666666666664,0.0
ISIC,1993,C0,0,True,1,100.0,31.818181818181817,68.18181818181819,68.18181818181819
ISIC,1993,C0,1,False,4,78.37837837837837,78.37837837837837,,
ISIC,1993,C0,2,False,4,84.78260869565217,84.78260869565217,,
ISIC,1993,C0,3,True,2,85.0,42.5,42.5,42.5
ISIC,1993,C0,4,True,1,95.1219512195122,21.951219512195124,73.17073170731707,73.17073170731707
ISIC,1993,C0,5,True,3,75.67567567567568,51.351351351351354,24.324324324324323,24.324324324324323
ISIC,1993,C0,6,True,3,84.61538461538461,84.61538461538461,0.0,0.0
ISIC,1993,C0,7,True,2,54.166666666666664,37.5,20.833333333333336,16.666666666666664
ISIC,1994,F1,0,True,3,75.0,75.0,0.0,0.0
ISIC,1994,F1,1,True,3,48.648648648648646,51.351351351351354,0.0,-2.702702702702709
ISIC,1994,F1,2,False,4,36.95652173913044,36.95652173913044,,
ISIC,1994,F1,3,True,1,97.5,30.0,67.5,67.5
ISIC,1994,F1,4,True,2,56.09756097560975,60.97560975609756,0.0,-4.878048780487809
ISIC,1994,F1,5,True,2,54.054054054054056,48.648648648648646,5.405405405405411,5.405405405405411
ISIC,1994,F1,6,False,4,84.61538461538461,84.61538461538461,,
ISIC,1994,F1,7,True,1,50.0,54.166666666666664,0.0,-4.166666666666664
ISIC,1994,P,0,True,3,75.0,75.0,0.0,0.0
ISIC,1994,P,1,True,3,48.648648648648646,51.351351351351354,0.0,-2.702702702702709
ISIC,1994,P,2,False,4,43.47826086956522,43.47826086956522,,
ISIC,1994,P,3,True,1,97.5,32.5,65.0,65.0
ISIC,1994,P,4,True,2,51.21951219512195,56.09756097560975,4.878048780487809,-4.878048780487802
ISIC,1994,P,5,True,2,51.351351351351354,43.24324324324324,8.108108108108112,8.108108108108112
ISIC,1994,P,6,False,4,92.3076923076923,92.3076923076923,,
ISIC,1994,P,7,True,1,54.166666666666664,50.0,4.166666666666664,4.166666666666664
ISIC,1994,C0,0,True,3,86.36363636363636,75.0,11.36363636363636,11.36363636363636
ISIC,1994,C0,1,True,3,72.97297297297297,32.432432432432435,40.54054054054053,40.54054054054053
ISIC,1994,C0,2,False,4,97.82608695652173,97.82608695652173,,
ISIC,1994,C0,3,True,1,97.5,7.5,90.0,90.0
ISIC,1994,C0,4,True,2,53.65853658536585,0.0,53.65853658536585,53.65853658536585
ISIC,1994,C0,5,True,2,56.75675675675676,0.0,59.45945945945946,56.75675675675676
ISIC,1994,C0,6,False,4,80.76923076923077,80.76923076923077,,
ISIC,1994,C0,7,True,1,50.0,20.833333333333332,37.5,29.166666666666668
ISIC,1995,F1,0,True,2,79.54545454545455,77.27272727272727,4.545454545454547,2.2727272727272805
ISIC,1995,F1,1,True,1,86.48648648648648,56.75675675675676,29.729729729729726,29.729729729729726
ISIC,1995,F1,2,False,4,47.82608695652174,47.82608695652174,,
ISIC,1995,F1,3,True,1,85.0,45.0,40.0,40.0
ISIC,1995,F1,4,True,3,58.53658536585366,56.09756097560975,2.439024390243908,2.439024390243908
ISIC,1995,F1,5,True,3,48.648648648648646,51.351351351351354,0.0,-2.702702702702709
ISIC,1995,F1,6,True,2,88.46153846153847,92.3076923076923,0.0,-3.8461538461538396
ISIC,1995,F1,7,False,4,58.333333333333336,58.333333333333336,,
ISIC,1995,P,0,True,2,79.54545454545455,75.0,4.545454545454547,4.545454545454547
ISIC,1995,P,1,True,1,78.37837837837837,51.351351351351354,27.027027027027017,27.027027027027017
ISIC,1995,P,2,False,4,43.47826086956522,43.47826086956522,,
ISIC,1995,P,3,True,1,87.5,32.5,55.0,55.0
ISIC,1995,P,4,True,3,58.53658536585366,56.09756097560975,2.439024390243908,2.439024390243908
ISIC,1995,P,5,True,3,48.648648648648646,43.24324324324324,5.4054054054054035,5.4054054054054035
ISIC,1995,P,6,True,2,96.15384615384616,92.3076923076923,3.846153846153854,3.846153846153854
ISIC,1995,P,7,False,4,50.0,50.0,,
ISIC,1995,C0,0,True,2,93.18181818181819,59.09090909090909,34.09090909090909,34.09090909090909
ISIC,1995,C0,1,True,1,86.48648648648648,18.91891891891892,67.56756756756756,67.56756756756756
ISIC,1995,C0,2,False,4,95.65217391304348,95.65217391304348,,
ISIC,1995,C0,3,True,1,85.0,5.0,80.0,80.0
ISIC,1995,C0,4,True,3,60.97560975609756,29.26829268292683,31.70731707317073,31.70731707317073
ISIC,1995,C0,5,True,3,59.45945945945946,27.027027027027028,32.432432432432435,32.432432432432435
ISIC,1995,C0,6,True,2,96.15384615384616,73.07692307692308,23.07692307692308,23.07692307692308
ISIC,1995,C0,7,False,4,58.333333333333336,58.333333333333336,,
