dataset,seed,stream,task,epoch,optimizer_steps,cumulative_steps,train_seconds,lr_used,lr_next,loss,all_seen_train_accuracy,current_restricted_accuracy,adapter_gradient_tensors,future_data_gradient_max,main_CE,sum_CE,pool_weighted_few,assignment,pull,replay_CE,replay_weight
HK,1993,U,2,5,18,230,9.19959809599095,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",0.44129324869977105,100.0,100.0,97,0.0,4.696455966050432e-06,8.416672206597772e-07,3.40914681295555e-13,0.456111129373312,-0.014819731480545467,0.0,0.0
HK,1993,U,2,6,18,248,9.015801564004505,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",-0.015527007739163108,100.0,100.0,97,0.0,5.706244902765118e-06,1.8156450017533152e-07,1.7440759302069265e-13,3.9823706227743514e-08,-0.015529010196526844,0.0,0.0
HK,1993,U,2,7,18,266,8.958758955006488,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",-0.016025789133790467,100.0,100.0,97,0.0,1.311993685012188e-05,8.01268998287499e-07,2.833877833771549e-13,2.0637414531146337e-08,-0.016030449916919078,0.0,0.0
HK,1993,U,2,8,18,284,8.915570993005531,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",-0.01628123177215457,100.0,100.0,97,0.0,4.77209597072993e-06,1.4989717530432422e-06,1.3570195033974321e-13,3.227210129146273e-08,-0.01628335441152255,0.0,0.0
HK,1993,U,2,9,18,302,9.230292032996658,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",-0.016625467894805804,100.0,100.0,97,0.0,5.609048318749248e-06,2.0289726160922012e-07,2.476296439137701e-13,2.3236831596182516e-08,-0.01662742793560028,0.0,0.0
HK,1993,U,2,10,18,320,9.088725936017,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",-0.016615110035571787,100.0,100.0,97,0.0,5.451327472390706e-06,2.144009864708036e-07,2.714053180905973e-13,1.0225317412025956e-07,-0.016617100768619116,0.0,0.0
HK,1993,U,3,1,21,341,19.547952097986126,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",2.856729017836707,84.55366098294884,98.29488465396189,97,0.0,2.6135405135100016,4.588800600909394,1.5547614107396068e-07,0.47476192173503695,-0.01881322945867266,0.0,0.0
HK,1993,U,3,2,21,362,10.784170469007222,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",0.4547538686366308,100.0,100.0,97,0.0,0.00048573506990665224,2.925590709478869e-06,6.889231825160549e-20,0.47476192315419513,-0.02017093747854233,0.0,0.0
HK,1993,U,3,3,21,383,10.749513902002946,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",0.453571359316508,100.0,100.0,97,0.0,0.0002494510827199563,2.838923193648228e-06,2.7291573103187767e-20,0.47476192315419513,-0.021274658186095103,0.0,0.0
HK,1993,U,3,4,21,404,10.559009749995312,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",0.4525271398680551,100.0,100.0,97,0.0,0.00034000382132554866,1.1934152246767263e-05,2.6324347729940883e-21,0.47476192315419513,-0.022352094735418045,0.0,0.0
HK,1993,U,3,5,21,425,10.55179800800397,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",0.45157323706717717,100.0,100.0,97,0.0,0.00034217663395403567,4.704800469149514e-06,3.5240882354900396e-21,0.47476192315419513,-0.02330431810447148,0.0,0.0
HK,1993,U,3,6,21,446,10.674149630009197,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",-0.023843119187014445,100.0,100.0,97,0.0,0.0003443095446896006,2.4306156208821405e-05,1.4635239945350045e-19,5.717867588563772e-16,-0.023965990969112942,0.0,0.0
HK,1993,U,3,7,21,467,10.63785149299656,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",-0.024515782793362934,100.0,100.0,97,0.0,0.0002874410919979536,2.9041938586480514e-06,4.99393162825763e-20,2.2938719673455873e-16,-0.024612564061369215,0.0,0.0
HK,1993,U,3,8,21,488,10.651295268995455,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",-0.024845773886357034,100.0,100.0,97,0.0,0.00030414975978081723,1.8252775875933953e-06,4.5397510023751925e-21,5.515723226514057e-16,-0.024947765327635266,0.0,0.0
HK,1993,U,3,9,21,509,10.761785527021857,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",-0.02504607600470384,100.0,100.0,97,0.0,0.0002449000034110733,2.0804525843452042e-06,1.648745284161254e-20,9.710496201321732e-16,-0.025128402738344106,0.0,0.0
HK,1993,U,3,10,21,530,10.968661610007985,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",-0.02512493986813795,100.0,100.0,97,0.0,0.0001341159481420445,3.9470105546063075e-06,6.561000326736958e-21,2.7730610916754967e-16,-0.02517096038375582,0.0,0.0
HK,1993,U,4,1,14,544,12.828468580992194,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",23.44659430852958,64.91754122938531,95.65217391304348,97,0.0,6.074971840559946,13.663245364668823,1.980917722670923e-16,16.888572147914342,-0.021383477321692875,0.0,0.0
HK,1993,U,4,2,14,558,7.402909354015719,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",16.889251804777555,98.80059970014993,98.80059970014993,97,0.0,0.034464609967341985,0.034163803378845614,6.189526375791064e-19,16.88857184137617,-0.02219625615647861,0.0,0.0
HK,1993,U,4,3,14,572,7.206574142997852,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",16.879020180021012,99.55022488755623,99.55022488755623,97,0.0,0.01658731219086767,0.023583842406004862,2.0381104085602928e-20,16.888572058507375,-0.02294203085558755,0.0,0.0
HK,1993,U,4,4,14,586,7.174204658018425,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",16.865259758063726,100.0,100.0,97,0.0,0.0010326354827481868,5.148955548112915e-05,2.8304506093486256e-21,16.888572113854543,-0.02367357718093055,0.0,0.0
HK,1993,U,4,5,14,600,7.343790548999095,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",16.86439580789634,100.0,100.0,97,0.0,0.00017258436147520633,4.699172363399816e-05,1.581290473018548e-20,16.888571943555558,-0.024249376888786044,0.0,0.0
HK,1993,U,4,6,14,614,7.226504486985505,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",-0.02457677253655025,100.0,100.0,97,0.0,0.0003286136311706806,0.0002834948064573961,5.742632265211784e-20,2.0138652471169577e-15,-0.024780808602060594,0.0,0.0
HK,1993,U,4,7,14,628,7.191228054987732,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",-0.025088851872299398,100.0,100.0,97,0.0,0.0002639288628724249,1.95254542330365e-05,2.0940986327501617e-20,5.901540831266929e-16,-0.025183336330311636,0.0,0.0
HK,1993,U,4,8,14,642,7.2010397400008515,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",-0.02506462245115212,100.0,100.0,97,0.0,0.0005572082931897577,1.4419358587401479e-05,4.602968379607268e-19,1.4647520923576495e-15,-0.025255164184740612,0.0,0.0
HK,1993,U,4,9,14,656,7.188150622998364,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",-0.02527426396097456,100.0,100.0,97,0.0,0.0004045792594687165,0.00012820671133217942,3.66550591978623e-20,4.748481632326821e-16,-0.025451858873878207,0.0,0.0
HK,1993,U,4,10,14,670,7.3054486619948875,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",-0.025466985069215298,100.0,100.0,97,0.0,0.00020663063397868036,1.3984721909927294e-05,1.6876976563081931e-19,5.888137543327964e-15,-0.025540523124592648,0.0,0.0
HK,1993,U,5,1,2,672,3.1829559769830666,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",293.9554328918457,0.0,48.07692307692308,97,0.0,33.18354892730713,68.76145935058594,2.700612284913178e-16,260.0,-0.026260191202163698,0.0,0.0
HK,1993,U,5,2,2,674,1.6754485810233746,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",282.71441650390625,0.0,94.23076923076923,97,0.0,23.26480007171631,44.95446014404297,1.1808762926869039e-16,260.0,-0.025342570245265962,0.0,0.0
HK,1993,U,5,3,2,676,1.7074104649946094,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",267.1752815246582,28.846153846153847,100.0,97,0.0,9.017399549484253,12.586487770080566,3.018917512325862e-15,260.0,-0.02601509690284729,0.0,0.0
HK,1993,U,5,4,2,678,1.6332101149891969,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",261.0064010620117,75.0,100.0,97,0.0,2.136389672756195,0.9529543083626777,1.2412417683711207e-18,260.0,-0.02338281273841858,0.0,0.0
HK,1993,U,5,5,2,680,1.6573072930041235,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",260.08712005615234,100.0,100.0,97,0.0,0.33798086270689964,7.36714789582038e-05,5.659519198356654e-20,260.0,-0.02556731700897217,0.0,0.0
HK,1993,U,5,6,2,682,1.642108731000917,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",-0.024721982888877392,100.0,100.0,97,0.0,0.0025435509687667945,1.8115615588953915e-05,9.544573076699248e-20,6.011075751791366e-16,-0.025575870275497438,0.0,0.0
HK,1993,U,5,7,2,684,1.5869801069784444,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",-0.021986340172588825,100.0,100.0,97,0.0,0.010254321387037635,0.0004794112901436165,3.0017177585960357e-20,5.5080516703023536e-15,-0.025564250349998475,0.0,0.0
HK,1993,U,5,8,2,686,1.6574177739967126,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",-0.024408682249486446,100.0,100.0,97,0.0,0.0046313103375723585,6.15164317414596e-05,8.47125751848862e-20,7.115745097157575e-15,-0.02597295641899109,0.0,0.0
HK,1993,U,5,9,2,688,1.650792493019253,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",-0.02503602672368288,100.0,100.0,97,0.0,0.003722286423908372,8.20617638623844e-05,2.749564996673743e-20,1.4160659267916955e-14,-0.026304143667221072,0.0,0.0
HK,1993,U,5,10,2,690,1.640946539992001,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",-0.021592366509139538,100.0,100.0,97,0.0,0.007953454391099513,0.00025882638294660865,2.2111384947045765e-20,8.984928788651838e-17,-0.024329792708158493,0.0,0.0
HK,1993,U,6,1,16,706,14.131799738999689,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",57.25365376472473,76.43908969210175,91.83400267737618,97,0.0,4.612159357580822,6.618458857759833,7.154517115798887e-17,53.53875243663788,-0.028638689406216146,0.0,0.0
HK,1993,U,6,2,16,722,7.95657196600223,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",53.54440188407898,97.99196787148594,97.99196787148594,97,0.0,0.04667006064846646,0.05866168751890655,1.5658613221355983e-16,53.53875172138214,-0.0294599324464798,0.0,0.0
HK,1993,U,6,3,16,738,7.973981583985733,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",53.53728532791138,97.59036144578313,97.59036144578313,97,0.0,0.01742551969800843,0.06931313950735785,3.8116355683300057e-17,53.53875148296356,-0.030379344150424006,0.0,0.0
HK,1993,U,6,4,16,754,7.916011666005943,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",53.52046257071197,99.33065595716198,99.33065595716198,97,0.0,0.011129950725717208,0.027306749753257975,1.1613435423394327e-15,53.538751274347305,-0.03110090922564268,0.0,0.0
HK,1993,U,6,5,16,770,7.869248739996692,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",53.51850891113281,98.92904953145917,98.92904953145917,97,0.0,0.009376578447700012,0.025157985209489198,6.948811043114622e-17,53.538752138614655,-0.03175524547696114,0.0,0.0
HK,1993,U,6,6,16,786,7.927434329991229,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",-0.028667205362580717,99.8661311914324,99.8661311914324,97,0.0,0.0036551110497384798,0.007653835002656706,1.794755942430433e-16,1.6173681041060786e-15,-0.03243685364723206,0.0,0.0
HK,1993,U,6,7,16,802,7.979895082011353,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",-0.025634742167312652,99.59839357429719,99.59839357429719,97,0.0,0.0098249362115439,0.011908902649622632,8.547372557000516e-17,1.7437784362335824e-15,-0.032879354618489745,0.0,0.0
HK,1993,U,6,8,16,818,7.921886633994291,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",-0.03108489071018994,100.0,100.0,97,0.0,0.005022198808092071,0.001086406487502245,3.458284769649553e-16,6.778166047700187e-14,-0.03312109243124724,0.0,0.0
HK,1993,U,6,9,16,834,8.249665629991796,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",-0.03152942471206188,100.0,100.0,97,0.0,0.0036455706012930023,0.0016550432580970664,1.3261645698508171e-17,3.3580426530381258e-15,-0.033296295814216136,0.0,0.0
HK,1993,U,6,10,16,850,8.295799155021086,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",-0.029084825539030135,99.73226238286479,99.73226238286479,97,0.0,0.006516553659821511,0.00624415380980281,5.4932713811612395e-17,1.274021299020622e-14,-0.03333839457482099,0.0,0.0
HK,1993,U,7,1,8,858,8.143505529005779,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",11.513657823204994,44.32717678100264,73.08707124010554,97,0.0,11.91825452260673,21.29727748874575,1.9288126518989462e-13,0.4737500175833702,-0.03193671964108944,0.0,0.0
HK,1993,U,7,2,8,866,4.492556897021132,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",0.4955383762717247,96.56992084432717,96.56992084432717,97,0.0,0.08233887259848416,0.07995513966307044,8.841820447682538e-14,0.4737500175833702,-0.032309656590223314,0.0,0.0
HK,1993,U,7,3,8,874,4.483090937021188,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",0.4639940857887268,98.68073878627969,98.68073878627969,97,0.0,0.03388721588999033,0.035710717405891046,1.6883119658662152e-14,0.4737500175833702,-0.03295524641871453,0.0,0.0
HK,1993,U,7,4,8,882,4.6036202700051945,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",0.44749873876571655,99.73614775725594,99.73614775725594,97,0.0,0.009451499092392623,0.011693424632539973,2.6441892730680476e-13,0.4737500175833702,-0.03329958282411098,0.0,0.0
HK,1993,U,7,5,8,890,4.515703087992733,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",0.4520089738070965,99.2084432717678,99.2084432717678,97,0.0,0.015011832845630124,0.020615890083718114,1.7116328647667674e-13,0.4737500175833702,-0.03361694701015949,0.0,0.0
HK,1993,U,7,6,8,898,4.493605133000528,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",-0.02465834841132164,99.73614775725594,99.73614775725594,97,0.0,0.014460072867223062,0.01282195338717429,7.111481793432584e-14,1.01798935607836e-12,-0.033752357587218285,0.0,0.0
HK,1993,U,7,7,8,906,4.480887043988332,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",-0.02734756958670914,99.73614775725594,99.73614775725594,97,0.0,0.010039027445600368,0.009723567018227186,2.2202103635735105e-15,7.162839377489968e-14,-0.03393510058522225,0.0,0.0
HK,1993,U,7,8,8,914,4.558300511998823,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",-0.030983023578301072,100.0,100.0,97,0.0,0.004732079338282347,0.00469643939868547,6.261731706262249e-14,7.844111904353976e-13,-0.03412586338818073,0.0,0.0
HK,1993,U,7,9,8,922,4.581057486007921,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",-0.027580241207033396,99.73614775725594,99.73614775725594,97,0.0,0.010274682790623046,0.009784563313587569,7.901694892698282e-15,1.3513636723556588e-13,-0.034266655892133714,0.0,0.0
HK,1993,U,7,10,8,930,4.499231288995361,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",-0.02899743220768869,99.73614775725594,99.73614775725594,97,0.0,0.008939298233599402,0.006821305774792563,1.685266766408755e-14,2.404275483674042e-13,-0.03425096645951271,0.0,0.0
HK,1993,U,8,1,14,944,14.420297855016543,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",7.809851293052946,76.91107644305772,97.97191887675507,97,0.0,2.146688010116241,7.149697148964303,2.526629573507737e-14,4.739285873515265,-0.02822960955756051,0.0,0.0
HK,1993,U,8,2,14,958,8.269404161022976,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",4.712152723755155,99.68798751950078,99.68798751950078,97,0.0,0.0011335291079035414,0.004447219419706272,1.7832627407097086e-13,4.739285873515265,-0.028993312375886097,0.0,0.0
HK,1993,U,8,3,14,972,7.962480643007439,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",4.710691736212799,99.84399375975039,99.84399375975039,97,0.0,0.00046389331232078924,0.00321940517227686,2.257024618302238e-15,4.739285873515265,-0.029821953390325815,0.0,0.0
HK,1993,U,8,4,14,986,7.974098846985726,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",4.709093883633614,100.0,100.0,97,0.0,7.063029796329699e-06,0.00027236322116712993,3.582223841911325e-13,4.739285873515265,-0.030285220273903433,0.0,0.0
HK,1993,U,8,5,14,1000,8.1121597699821,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",4.708461360207626,100.0,100.0,97,0.0,7.123577204305929e-06,0.0004962966032573084,1.8692927082791324e-12,4.739285873515265,-0.03099238957677569,0.0,0.0
HK,1993,U,8,6,14,1014,8.073667903983733,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",-0.03147485998592207,100.0,100.0,97,0.0,8.024390590475963e-06,7.978349350829766e-06,5.046456677356444e-13,3.34949582515299e-12,-0.031480193563870024,0.0,0.0
HK,1993,U,8,7,14,1028,7.969033303990727,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",-0.031839639347578795,100.0,100.0,97,0.0,2.758596670395162e-06,1.000280074262402e-05,5.575880499741199e-13,4.9313871850762865e-12,-0.03184389280421392,0.0,0.0
HK,1993,U,8,8,14,1042,8.091324539011111,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",-0.03213902682598148,100.0,100.0,97,0.0,3.8299567428623504e-06,1.136709651586695e-05,2.8682906251078204e-13,2.7534290272130815e-12,-0.03214409202337265,0.0,0.0
HK,1993,U,8,9,14,1056,8.315497240022523,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",-0.0322221214217799,100.0,100.0,97,0.0,2.059337242700719e-06,8.637590844224568e-06,2.4593684560060084e-13,1.3568932312163052e-12,-0.032225685885974346,0.0,0.0
HK,1993,U,8,10,14,1070,8.001661950984271,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",-0.03233705487634454,100.0,100.0,97,0.0,6.4400695202035e-06,2.3194316179951458e-05,8.165092294062476e-14,8.099947765786039e-13,-0.032346933015755246,0.0,0.0
HK,1993,U,9,1,11,1081,11.935827436012914,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",11.590388200499795,69.83805668016194,96.15384615384616,97,0.0,6.054016180408708,11.110087496407619,1.440951581847625e-12,5.898182015527379,-0.029162610389969566,0.0,0.0
HK,1993,U,9,2,11,1092,6.4103115260077175,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",5.877572361041199,99.39271255060729,99.39271255060729,97,0.0,0.005894186533044955,0.02125080146966822,4.674647651561089e-12,5.898182015527379,-0.02965795045549219,0.0,0.0
HK,1993,U,9,3,11,1103,6.548233770998195,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",5.870899485593492,99.79757085020243,99.79757085020243,97,0.0,0.0006452524318609159,0.007908983232675386,5.982063140275182e-13,5.898182015527379,-0.03013398457657207,0.0,0.0
HK,1993,U,9,4,11,1114,6.3774722359958105,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",5.867493006993424,100.0,100.0,97,0.0,0.00018780454365696642,0.00028249729329455806,7.429695828833557e-13,5.898182015527379,-0.030845993757247926,0.0,0.0
HK,1993,U,9,5,11,1125,6.720117948018014,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",5.867008224807003,100.0,100.0,97,0.0,4.127186373766149e-05,4.032368221793738e-05,3.002608341591854e-11,5.898182058876211,-0.03120125261220065,0.0,0.0
HK,1993,U,9,6,11,1136,6.604872146999696,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",-0.031752772121266884,100.0,100.0,97,0.0,6.243953024729556e-05,9.92439440623953e-05,1.458150612617347e-13,3.952947600720362e-11,-0.03180666592988101,0.0,0.0
HK,1993,U,9,7,11,1147,6.658529581007315,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",-0.03179419887336818,100.0,100.0,97,0.0,4.661438980623313e-05,5.106432442661654e-05,2.743405735049282e-11,5.107666382470228e-09,-0.03182676271958785,0.0,0.0
HK,1993,U,9,8,11,1158,6.454072994005401,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",-0.03205956857312809,100.0,100.0,97,0.0,4.206033339538738e-05,2.517889195339442e-05,2.0962768655149263e-14,2.789429549043089e-12,-0.03208198032595894,0.0,0.0
HK,1993,U,9,9,11,1169,6.579337535978993,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",-0.03204283169047399,100.0,100.0,97,0.0,3.0381486278036558e-05,3.1233921794957745e-05,7.816660350075035e-15,1.3450747793401252e-12,-0.03206336931748824,0.0,0.0
