candidate,changed,class_id,comparator,corrections,dataset,destructions,n,seed,task,wrong_to_different_wrong
B.J,2,6,G.J,0,ISIC,1,26,1995,2,1
B.J,4,0,G.J,1,ISIC,2,44,1995,3,1
B.J,5,1,G.J,3,ISIC,1,37,1995,3,1
B.J,7,3,G.J,1,ISIC,6,40,1995,3,0
B.J,4,4,G.J,0,ISIC,1,41,1995,3,3
B.J,3,5,G.J,1,ISIC,2,37,1995,3,0
B.J,3,6,G.J,1,ISIC,2,26,1995,3,0
B.J,4,0,G.J,3,ISIC,1,44,1995,4,0
B.J,10,1,G.J,5,ISIC,1,37,1995,4,4
B.J,8,2,G.J,6,ISIC,0,46,1995,4,2
B.J,8,3,G.J,2,ISIC,5,40,1995,4,1
B.J,6,4,G.J,1,ISIC,0,41,1995,4,5
B.J,3,5,G.J,1,ISIC,1,37,1995,4,1
B.J,2,6,G.J,0,ISIC,2,26,1995,4,0
B.J,5,7,G.J,3,ISIC,1,24,1995,4,1
B.J,0,0,F,0,ISIC,0,44,1993,1,0
B.J,0,4,F,0,ISIC,0,41,1993,1,0
B.J,0,0,F,0,ISIC,0,44,1993,2,0
B.J,3,3,F,3,ISIC,0,40,1993,2,0
B.J,2,4,F,0,ISIC,2,41,1993,2,0
B.J,1,7,F,0,ISIC,1,24,1993,2,0
B.J,1,0,F,1,ISIC,0,44,1993,3,0
B.J,4,3,F,2,ISIC,1,40,1993,3,1
B.J,4,4,F,0,ISIC,2,41,1993,3,2
B.J,2,5,F,0,ISIC,1,37,1993,3,1
B.J,2,6,F,0,ISIC,2,26,1993,3,0
B.J,0,7,F,0,ISIC,0,24,1993,3,0
B.J,1,0,F,1,ISIC,0,44,1993,4,0
B.J,2,1,F,2,ISIC,0,37,1993,4,0
B.J,8,2,F,4,ISIC,1,46,1993,4,3
B.J,6,3,F,5,ISIC,0,40,1993,4,1
B.J,3,4,F,0,ISIC,3,41,1993,4,0
B.J,3,5,F,2,ISIC,0,37,1993,4,1
B.J,0,6,F,0,ISIC,0,26,1993,4,0
B.J,2,7,F,1,ISIC,0,24,1993,4,1
B.J,1,3,F,1,ISIC,0,40,1994,1,0
B.J,3,7,F,1,ISIC,2,24,1994,1,0
B.J,2,3,F,1,ISIC,1,40,1994,2,0
B.J,5,4,F,1,ISIC,2,41,1994,2,2
B.J,5,5,F,1,ISIC,3,37,1994,2,1
B.J,5,7,F,1,ISIC,3,24,1994,2,1
B.J,5,0,F,3,ISIC,2,44,1994,3,0
B.J,4,1,F,3,ISIC,0,37,1994,3,1
B.J,7,3,F,3,ISIC,1,40,1994,3,3
B.J,5,4,F,1,ISIC,2,41,1994,3,2
B.J,2,5,F,1,ISIC,0,37,1994,3,1
B.J,3,7,F,1,ISIC,2,24,1994,3,0
B.J,4,0,F,3,ISIC,1,44,1994,4,0
B.J,5,1,F,4,ISIC,1,37,1994,4,0
B.J,10,2,F,8,ISIC,1,46,1994,4,1
B.J,7,3,F,4,ISIC,0,40,1994,4,3
B.J,8,4,F,0,ISIC,5,41,1994,4,3
B.J,2,5,F,1,ISIC,0,37,1994,4,1
B.J,3,6,F,1,ISIC,2,26,1994,4,0
B.J,5,7,F,2,ISIC,3,24,1994,4,0
B.J,0,1,F,0,ISIC,0,37,1995,1,0
B.J,1,3,F,0,ISIC,1,40,1995,1,0
B.J,4,0,F,1,ISIC,2,44,1995,2,1
B.J,0,1,F,0,ISIC,0,37,1995,2,0
B.J,4,3,F,2,ISIC,2,40,1995,2,0
B.J,2,6,F,0,ISIC,2,26,1995,2,0
B.J,3,0,F,1,ISIC,1,44,1995,3,1
B.J,3,1,F,3,ISIC,0,37,1995,3,0
B.J,2,3,F,1,ISIC,0,40,1995,3,1
B.J,5,4,F,0,ISIC,2,41,1995,3,3
B.J,0,5,F,0,ISIC,0,37,1995,3,0
B.J,2,6,F,0,ISIC,2,26,1995,3,0
B.J,5,0,F,4,ISIC,1,44,1995,4,0
B.J,5,1,F,3,ISIC,1,37,1995,4,1
B.J,9,2,F,7,ISIC,1,46,1995,4,1
B.J,4,3,F,3,ISIC,0,40,1995,4,1
B.J,6,4,F,1,ISIC,2,41,1995,4,3
B.J,2,5,F,0,ISIC,1,37,1995,4,1
B.J,3,6,F,0,ISIC,3,26,1995,4,0
B.J,2,7,F,1,ISIC,1,24,1995,4,0
B.V,3,0,G.V,0,ISIC,3,44,1993,1,0
B.V,4,4,G.V,1,ISIC,3,41,1993,1,0
B.V,10,0,G.V,5,ISIC,4,44,1993,2,1
B.V,19,3,G.V,4,ISIC,13,40,1993,2,2
B.V,8,4,G.V,4,ISIC,3,41,1993,2,1
B.V,9,7,G.V,2,ISIC,2,24,1993,2,5
B.V,8,0,G.V,4,ISIC,4,44,1993,3,0
B.V,23,3,G.V,4,ISIC,14,40,1993,3,5
B.V,12,4,G.V,2,ISIC,4,41,1993,3,6
B.V,8,5,G.V,1,ISIC,4,37,1993,3,3
B.V,4,6,G.V,2,ISIC,2,26,1993,3,0
B.V,12,7,G.V,5,ISIC,2,24,1993,3,5
B.V,11,0,G.V,5,ISIC,6,44,1993,4,0
B.V,11,1,G.V,3,ISIC,4,37,1993,4,4
B.V,28,2,G.V,10,ISIC,7,46,1993,4,11
B.V,27,3,G.V,5,ISIC,12,40,1993,4,10
B.V,15,4,G.V,4,ISIC,5,41,1993,4,6
B.V,16,5,G.V,4,ISIC,6,37,1993,4,6
B.V,2,6,G.V,0,ISIC,2,26,1993,4,0
B.V,10,7,G.V,5,ISIC,1,24,1993,4,4
B.V,4,3,G.V,1,ISIC,3,40,1994,1,0
B.V,4,7,G.V,1,ISIC,3,24,1994,1,0
B.V,12,3,G.V,4,ISIC,7,40,1994,2,1
B.V,8,4,G.V,1,ISIC,6,41,1994,2,1
B.V,6,5,G.V,0,ISIC,5,37,1994,2,1
B.V,10,7,G.V,3,ISIC,3,24,1994,2,4
B.V,12,0,G.V,5,ISIC,7,44,1994,3,0
B.V,11,1,G.V,3,ISIC,3,37,1994,3,5
B.V,22,3,G.V,2,ISIC,13,40,1994,3,7
B.V,14,4,G.V,3,ISIC,5,41,1994,3,6
B.V,6,5,G.V,0,ISIC,5,37,1994,3,1
B.V,11,7,G.V,4,ISIC,2,24,1994,3,5
B.V,11,0,G.V,5,ISIC,6,44,1994,4,0
B.V,11,1,G.V,3,ISIC,4,37,1994,4,4
B.V,28,2,G.V,10,ISIC,7,46,1994,4,11
B.V,27,3,G.V,5,ISIC,12,40,1994,4,10
B.V,15,4,G.V,4,ISIC,5,41,1994,4,6
B.V,16,5,G.V,4,ISIC,6,37,1994,4,6
B.V,2,6,G.V,0,ISIC,2,26,1994,4,0
B.V,10,7,G.V,5,ISIC,1,24,1994,4,4
B.V,3,1,G.V,1,ISIC,2,37,1995,1,0
B.V,8,3,G.V,4,ISIC,4,40,1995,1,0
B.V,8,0,G.V,3,ISIC,4,44,1995,2,1
B.V,8,1,G.V,4,ISIC,2,37,1995,2,2
B.V,18,3,G.V,6,ISIC,9,40,1995,2,3
B.V,4,6,G.V,2,ISIC,2,26,1995,2,0
B.V,7,0,G.V,2,ISIC,5,44,1995,3,0
B.V,10,1,G.V,3,ISIC,3,37,1995,3,4
B.V,20,3,G.V,2,ISIC,12,40,1995,3,6
B.V,13,4,G.V,3,ISIC,4,41,1995,3,6
B.V,8,5,G.V,1,ISIC,4,37,1995,3,3
B.V,4,6,G.V,1,ISIC,2,26,1995,3,1
B.V,11,0,G.V,5,ISIC,6,44,1995,4,0
B.V,11,1,G.V,3,ISIC,4,37,1995,4,4
B.V,28,2,G.V,10,ISIC,7,46,1995,4,11
B.V,27,3,G.V,5,ISIC,12,40,1995,4,10
B.V,15,4,G.V,4,ISIC,5,41,1995,4,6
B.V,16,5,G.V,4,ISIC,6,37,1995,4,6
B.V,2,6,G.V,0,ISIC,2,26,1995,4,0
B.V,10,7,G.V,5,ISIC,1,24,1995,4,4
B.Z,10,0,G.Z,7,ISIC,3,44,1993,1,0
B.Z,11,4,G.Z,6,ISIC,5,41,1993,1,0
B.Z,29,0,G.Z,12,ISIC,10,44,1993,2,7
B.Z,29,3,G.Z,2,ISIC,20,40,1993,2,7
B.Z,30,4,G.Z,16,ISIC,0,41,1993,2,14
B.Z,20,7,G.Z,11,ISIC,0,24,1993,2,9
B.Z,31,0,G.Z,13,ISIC,9,44,1993,3,9
B.Z,32,3,G.Z,2,ISIC,19,40,1993,3,11
B.Z,30,4,G.Z,14,ISIC,0,41,1993,3,16
B.Z,33,5,G.Z,8,ISIC,2,37,1993,3,23
B.Z,23,6,G.Z,9,ISIC,2,26,1993,3,12
B.Z,21,7,G.Z,10,ISIC,0,24,1993,3,11
B.Z,29,0,G.Z,11,ISIC,9,44,1993,4,9
B.Z,25,1,G.Z,5,ISIC,6,37,1993,4,14
B.Z,40,2,G.Z,3,ISIC,1,46,1993,4,36
B.Z,32,3,G.Z,2,ISIC,16,40,1993,4,14
B.Z,32,4,G.Z,13,ISIC,0,41,1993,4,19
B.Z,33,5,G.Z,4,ISIC,2,37,1993,4,27
B.Z,22,6,G.Z,5,ISIC,2,26,1993,4,15
B.Z,19,7,G.Z,7,ISIC,0,24,1993,4,12
B.Z,16,3,G.Z,1,ISIC,15,40,1994,1,0
B.Z,16,7,G.Z,16,ISIC,0,24,1994,1,0
B.Z,27,3,G.Z,3,ISIC,17,40,1994,2,7
B.Z,25,4,G.Z,16,ISIC,0,41,1994,2,9
B.Z,28,5,G.Z,7,ISIC,2,37,1994,2,19
B.Z,19,7,G.Z,10,ISIC,0,24,1994,2,9
B.Z,29,0,G.Z,11,ISIC,9,44,1994,3,9
B.Z,24,1,G.Z,6,ISIC,6,37,1994,3,12
B.Z,32,3,G.Z,2,ISIC,16,40,1994,3,14
B.Z,31,4,G.Z,14,ISIC,0,41,1994,3,17
B.Z,30,5,G.Z,7,ISIC,2,37,1994,3,21
B.Z,20,7,G.Z,8,ISIC,0,24,1994,3,12
B.Z,29,0,G.Z,11,ISIC,9,44,1994,4,9
B.Z,25,1,G.Z,5,ISIC,6,37,1994,4,14
B.Z,40,2,G.Z,3,ISIC,1,46,1994,4,36
B.Z,32,3,G.Z,2,ISIC,16,40,1994,4,14
B.Z,32,4,G.Z,13,ISIC,0,41,1994,4,19
B.Z,33,5,G.Z,4,ISIC,2,37,1994,4,27
B.Z,22,6,G.Z,5,ISIC,2,26,1994,4,15
B.Z,19,7,G.Z,7,ISIC,0,24,1994,4,12
B.Z,9,1,G.Z,8,ISIC,1,37,1995,1,0
B.Z,17,3,G.Z,2,ISIC,15,40,1995,1,0
B.Z,22,0,G.Z,12,ISIC,7,44,1995,2,3
B.Z,23,1,G.Z,5,ISIC,7,37,1995,2,11
B.Z,27,3,G.Z,1,ISIC,16,40,1995,2,10
B.Z,18,6,G.Z,17,ISIC,0,26,1995,2,1
B.Z,23,0,G.Z,12,ISIC,7,44,1995,3,4
B.Z,25,1,G.Z,6,ISIC,6,37,1995,3,13
B.Z,32,3,G.Z,2,ISIC,17,40,1995,3,13
B.Z,31,4,G.Z,14,ISIC,0,41,1995,3,17
B.Z,32,5,G.Z,7,ISIC,2,37,1995,3,23
B.Z,20,6,G.Z,17,ISIC,1,26,1995,3,2
B.Z,29,0,G.Z,11,ISIC,9,44,1995,4,9
B.Z,25,1,G.Z,5,ISIC,6,37,1995,4,14
B.Z,40,2,G.Z,3,ISIC,1,46,1995,4,36
B.Z,32,3,G.Z,2,ISIC,16,40,1995,4,14
B.Z,32,4,G.Z,13,ISIC,0,41,1995,4,19
B.Z,33,5,G.Z,4,ISIC,2,37,1995,4,27
B.Z,22,6,G.Z,5,ISIC,2,26,1995,4,15
B.Z,19,7,G.Z,7,ISIC,0,24,1995,4,12
G.L,0,0,G.J,0,ISIC,0,44,1993,1,0
G.L,0,4,G.J,0,ISIC,0,41,1993,1,0
G.L,0,0,G.J,0,ISIC,0,44,1993,2,0
G.L,0,3,G.J,0,ISIC,0,40,1993,2,0
G.L,0,4,G.J,0,ISIC,0,41,1993,2,0
G.L,0,7,G.J,0,ISIC,0,24,1993,2,0
G.L,1,0,G.J,1,ISIC,0,44,1993,3,0
G.L,2,3,G.J,2,ISIC,0,40,1993,3,0
G.L,1,4,G.J,1,ISIC,0,41,1993,3,0
G.L,1,5,G.J,0,ISIC,1,37,1993,3,0
G.L,0,6,G.J,0,ISIC,0,26,1993,3,0
G.L,2,7,G.J,0,ISIC,1,24,1993,3,1
G.L,1,0,G.J,1,ISIC,0,44,1993,4,0
G.L,1,1,G.J,1,ISIC,0,37,1993,4,0
G.L,2,2,G.J,0,ISIC,2,46,1993,4,0
G.L,3,3,G.J,2,ISIC,1,40,1993,4,0
G.L,3,4,G.J,2,ISIC,1,41,1993,4,0
G.L,1,5,G.J,0,ISIC,0,37,1993,4,1
G.L,1,6,G.J,0,ISIC,0,26,1993,4,1
G.L,1,7,G.J,0,ISIC,0,24,1993,4,1
G.L,0,3,G.J,0,ISIC,0,40,1994,1,0
G.L,0,7,G.J,0,ISIC,0,24,1994,1,0
G.L,0,3,G.J,0,ISIC,0,40,1994,2,0
G.L,1,4,G.J,0,ISIC,1,41,1994,2,0
G.L,1,5,G.J,0,ISIC,1,37,1994,2,0
G.L,2,7,G.J,0,ISIC,1,24,1994,2,1
G.L,0,0,G.J,0,ISIC,0,44,1994,3,0
G.L,1,1,G.J,0,ISIC,1,37,1994,3,0
G.L,3,3,G.J,3,ISIC,0,40,1994,3,0
G.L,1,4,G.J,1,ISIC,0,41,1994,3,0
G.L,3,5,G.J,1,ISIC,0,37,1994,3,2
G.L,1,7,G.J,0,ISIC,0,24,1994,3,1
G.L,0,0,G.J,0,ISIC,0,44,1994,4,0
G.L,2,1,G.J,0,ISIC,2,37,1994,4,0
G.L,1,2,G.J,0,ISIC,1,46,1994,4,0
G.L,2,3,G.J,1,ISIC,0,40,1994,4,1
G.L,5,4,G.J,3,ISIC,0,41,1994,4,2
G.L,2,5,G.J,1,ISIC,0,37,1994,4,1
G.L,2,6,G.J,1,ISIC,0,26,1994,4,1
G.L,2,7,G.J,0,ISIC,0,24,1994,4,2
G.L,0,1,G.J,0,ISIC,0,37,1995,1,0
G.L,0,3,G.J,0,ISIC,0,40,1995,1,0
G.L,0,0,G.J,0,ISIC,0,44,1995,2,0
G.L,1,1,G.J,0,ISIC,1,37,1995,2,0
G.L,0,3,G.J,0,ISIC,0,40,1995,2,0
G.L,0,6,G.J,0,ISIC,0,26,1995,2,0
G.L,0,0,G.J,0,ISIC,0,44,1995,3,0
G.L,3,1,G.J,0,ISIC,1,37,1995,3,2
G.L,0,3,G.J,0,ISIC,0,40,1995,3,0
G.L,0,4,G.J,0,ISIC,0,41,1995,3,0
G.L,0,5,G.J,0,ISIC,0,37,1995,3,0
G.L,0,6,G.J,0,ISIC,0,26,1995,3,0
G.L,0,0,G.J,0,ISIC,0,44,1995,4,0
G.L,1,1,G.J,0,ISIC,1,37,1995,4,0
G.L,4,2,G.J,0,ISIC,3,46,1995,4,1
G.L,5,3,G.J,3,ISIC,1,40,1995,4,1
G.L,2,4,G.J,1,ISIC,0,41,1995,4,1
G.L,0,5,G.J,0,ISIC,0,37,1995,4,0
G.L,0,6,G.J,0,ISIC,0,26,1995,4,0
G.L,3,7,G.J,0,ISIC,2,24,1995,4,1
G.R,0,0,G.J,0,ISIC,0,44,1993,1,0
G.R,0,4,G.J,0,ISIC,0,41,1993,1,0
G.R,0,0,G.J,0,ISIC,0,44,1993,2,0
G.R,0,3,G.J,0,ISIC,0,40,1993,2,0
G.R,0,4,G.J,0,ISIC,0,41,1993,2,0
G.R,1,7,G.J,1,ISIC,0,24,1993,2,0
G.R,0,0,G.J,0,ISIC,0,44,1993,3,0
G.R,0,3,G.J,0,ISIC,0,40,1993,3,0
G.R,0,4,G.J,0,ISIC,0,41,1993,3,0
G.R,0,5,G.J,0,ISIC,0,37,1993,3,0
G.R,0,6,G.J,0,ISIC,0,26,1993,3,0
G.R,0,7,G.J,0,ISIC,0,24,1993,3,0
G.R,0,0,G.J,0,ISIC,0,44,1993,4,0
G.R,0,1,G.J,0,ISIC,0,37,1993,4,0
G.R,0,2,G.J,0,ISIC,0,46,1993,4,0
G.R,0,3,G.J,0,ISIC,0,40,1993,4,0
G.R,0,4,G.J,0,ISIC,0,41,1993,4,0
G.R,0,5,G.J,0,ISIC,0,37,1993,4,0
G.R,0,6,G.J,0,ISIC,0,26,1993,4,0
G.R,0,7,G.J,0,ISIC,0,24,1993,4,0
G.R,0,3,G.J,0,ISIC,0,40,1994,1,0
G.R,0,7,G.J,0,ISIC,0,24,1994,1,0
G.R,0,3,G.J,0,ISIC,0,40,1994,2,0
G.R,0,4,G.J,0,ISIC,0,41,1994,2,0
G.R,0,5,G.J,0,ISIC,0,37,1994,2,0
G.R,0,7,G.J,0,ISIC,0,24,1994,2,0
G.R,0,0,G.J,0,ISIC,0,44,1994,3,0
G.R,0,1,G.J,0,ISIC,0,37,1994,3,0
G.R,0,3,G.J,0,ISIC,0,40,1994,3,0
G.R,0,4,G.J,0,ISIC,0,41,1994,3,0
G.R,0,5,G.J,0,ISIC,0,37,1994,3,0
G.R,0,7,G.J,0,ISIC,0,24,1994,3,0
G.R,0,0,G.J,0,ISIC,0,44,1994,4,0
G.R,0,1,G.J,0,ISIC,0,37,1994,4,0
G.R,0,2,G.J,0,ISIC,0,46,1994,4,0
G.R,0,3,G.J,0,ISIC,0,40,1994,4,0
G.R,0,4,G.J,0,ISIC,0,41,1994,4,0
G.R,0,5,G.J,0,ISIC,0,37,1994,4,0
G.R,0,6,G.J,0,ISIC,0,26,1994,4,0
G.R,0,7,G.J,0,ISIC,0,24,1994,4,0
G.R,0,1,G.J,0,ISIC,0,37,1995,1,0
G.R,0,3,G.J,0,ISIC,0,40,1995,1,0
G.R,0,0,G.J,0,ISIC,0,44,1995,2,0
G.R,0,1,G.J,0,ISIC,0,37,1995,2,0
G.R,0,3,G.J,0,ISIC,0,40,1995,2,0
G.R,0,6,G.J,0,ISIC,0,26,1995,2,0
G.R,0,0,G.J,0,ISIC,0,44,1995,3,0
G.R,0,1,G.J,0,ISIC,0,37,1995,3,0
G.R,0,3,G.J,0,ISIC,0,40,1995,3,0
G.R,0,4,G.J,0,ISIC,0,41,1995,3,0
G.R,0,5,G.J,0,ISIC,0,37,1995,3,0
G.R,0,6,G.J,0,ISIC,0,26,1995,3,0
G.R,0,0,G.J,0,ISIC,0,44,1995,4,0
G.R,0,1,G.J,0,ISIC,0,37,1995,4,0
G.R,0,2,G.J,0,ISIC,0,46,1995,4,0
G.R,0,3,G.J,0,ISIC,0,40,1995,4,0
G.R,0,4,G.J,0,ISIC,0,41,1995,4,0
G.R,0,5,G.J,0,ISIC,0,37,1995,4,0
G.R,0,6,G.J,0,ISIC,0,26,1995,4,0
G.R,0,7,G.J,0,ISIC,0,24,1995,4,0
G.J,0,0,F,0,ISIC,0,44,1993,1,0
G.J,0,4,F,0,ISIC,0,41,1993,1,0
G.J,2,0,F,0,ISIC,2,44,1993,2,0
G.J,5,3,F,5,ISIC,0,40,1993,2,0
G.J,1,4,F,0,ISIC,1,41,1993,2,0
G.J,2,7,F,0,ISIC,2,24,1993,2,0
G.J,3,0,F,2,ISIC,1,44,1993,3,0
G.J,6,3,F,4,ISIC,1,40,1993,3,1
G.J,3,4,F,1,ISIC,2,41,1993,3,0
G.J,3,5,F,1,ISIC,1,37,1993,3,1
G.J,0,6,F,0,ISIC,0,26,1993,3,0
G.J,3,7,F,0,ISIC,1,24,1993,3,2
G.J,2,0,F,1,ISIC,1,44,1993,4,0
G.J,6,1,F,1,ISIC,1,37,1993,4,4
G.J,10,2,F,4,ISIC,2,46,1993,4,4
G.J,8,3,F,6,ISIC,0,40,1993,4,2
G.J,5,4,F,0,ISIC,3,41,1993,4,2
G.J,2,5,F,1,ISIC,0,37,1993,4,1
G.J,0,6,F,0,ISIC,0,26,1993,4,0
G.J,3,7,F,0,ISIC,1,24,1993,4,2
G.J,1,3,F,1,ISIC,0,40,1994,1,0
G.J,1,7,F,0,ISIC,1,24,1994,1,0
G.J,6,3,F,4,ISIC,1,40,1994,2,1
G.J,5,4,F,0,ISIC,3,41,1994,2,2
G.J,2,5,F,0,ISIC,2,37,1994,2,0
G.J,6,7,F,1,ISIC,4,24,1994,2,1
G.J,5,0,F,3,ISIC,1,44,1994,3,1
G.J,5,1,F,3,ISIC,0,37,1994,3,2
G.J,12,3,F,9,ISIC,1,40,1994,3,2
G.J,7,4,F,1,ISIC,3,41,1994,3,3
G.J,3,5,F,1,ISIC,1,37,1994,3,1
G.J,5,7,F,1,ISIC,3,24,1994,3,1
G.J,4,0,F,2,ISIC,1,44,1994,4,1
G.J,6,1,F,3,ISIC,0,37,1994,4,3
G.J,8,2,F,4,ISIC,2,46,1994,4,2
G.J,17,3,F,13,ISIC,1,40,1994,4,3
G.J,9,4,F,0,ISIC,6,41,1994,4,3
G.J,3,5,F,0,ISIC,2,37,1994,4,1
G.J,3,6,F,2,ISIC,1,26,1994,4,0
G.J,4,7,F,0,ISIC,3,24,1994,4,1
G.J,0,1,F,0,ISIC,0,37,1995,1,0
G.J,1,3,F,1,ISIC,0,40,1995,1,0
G.J,3,0,F,1,ISIC,1,44,1995,2,1
G.J,0,1,F,0,ISIC,0,37,1995,2,0
G.J,2,3,F,2,ISIC,0,40,1995,2,0
G.J,3,6,F,1,ISIC,2,26,1995,2,0
G.J,2,0,F,1,ISIC,0,44,1995,3,1
G.J,2,1,F,1,ISIC,0,37,1995,3,1
G.J,7,3,F,6,ISIC,0,40,1995,3,1
G.J,5,4,F,1,ISIC,2,41,1995,3,2
G.J,3,5,F,2,ISIC,1,37,1995,3,0
G.J,1,6,F,0,ISIC,1,26,1995,3,0
G.J,3,0,F,2,ISIC,1,44,1995,4,0
G.J,6,1,F,1,ISIC,3,37,1995,4,2
G.J,11,2,F,4,ISIC,4,46,1995,4,3
G.J,8,3,F,6,ISIC,0,40,1995,4,2
G.J,7,4,F,1,ISIC,3,41,1995,4,3
G.J,3,5,F,1,ISIC,2,37,1995,4,0
G.J,1,6,F,0,ISIC,1,26,1995,4,0
G.J,3,7,F,0,ISIC,2,24,1995,4,1
G.J1,0,0,F2,0,ISIC,0,44,1993,1,0
G.J1,0,4,F2,0,ISIC,0,41,1993,1,0
G.J1,1,0,F2,0,ISIC,0,44,1993,2,1
G.J1,3,3,F2,3,ISIC,0,40,1993,2,0
G.J1,1,4,F2,0,ISIC,1,41,1993,2,0
G.J1,1,7,F2,0,ISIC,1,24,1993,2,0
G.J1,2,0,F2,2,ISIC,0,44,1993,3,0
G.J1,4,3,F2,2,ISIC,0,40,1993,3,2
G.J1,6,4,F2,1,ISIC,3,41,1993,3,2
G.J1,2,5,F2,1,ISIC,1,37,1993,3,0
G.J1,0,6,F2,0,ISIC,0,26,1993,3,0
G.J1,3,7,F2,0,ISIC,1,24,1993,3,2
G.J1,1,0,F2,1,ISIC,0,44,1993,4,0
G.J1,4,1,F2,1,ISIC,0,37,1993,4,3
G.J1,8,2,F2,2,ISIC,2,46,1993,4,4
G.J1,11,3,F2,7,ISIC,0,40,1993,4,4
G.J1,6,4,F2,1,ISIC,3,41,1993,4,2
G.J1,1,5,F2,0,ISIC,0,37,1993,4,1
G.J1,0,6,F2,0,ISIC,0,26,1993,4,0
G.J1,2,7,F2,0,ISIC,1,24,1993,4,1
G.J1,2,3,F2,2,ISIC,0,40,1994,1,0
G.J1,3,7,F2,2,ISIC,1,24,1994,1,0
G.J1,7,3,F2,6,ISIC,0,40,1994,2,1
G.J1,8,4,F2,2,ISIC,4,41,1994,2,2
G.J1,3,5,F2,1,ISIC,2,37,1994,2,0
G.J1,6,7,F2,2,ISIC,2,24,1994,2,2
G.J1,2,0,F2,2,ISIC,0,44,1994,3,0
G.J1,5,1,F2,3,ISIC,1,37,1994,3,1
G.J1,11,3,F2,8,ISIC,1,40,1994,3,2
G.J1,7,4,F2,1,ISIC,3,41,1994,3,3
G.J1,5,5,F2,2,ISIC,2,37,1994,3,1
G.J1,3,7,F2,0,ISIC,1,24,1994,3,2
G.J1,2,0,F2,1,ISIC,0,44,1994,4,1
G.J1,4,1,F2,2,ISIC,0,37,1994,4,2
G.J1,6,2,F2,4,ISIC,1,46,1994,4,1
G.J1,15,3,F2,8,ISIC,1,40,1994,4,6
G.J1,8,4,F2,1,ISIC,4,41,1994,4,3
G.J1,4,5,F2,1,ISIC,2,37,1994,4,1
G.J1,1,6,F2,1,ISIC,0,26,1994,4,0
G.J1,5,7,F2,0,ISIC,3,24,1994,4,2
G.J1,1,1,F2,1,ISIC,0,37,1995,1,0
G.J1,2,3,F2,2,ISIC,0,40,1995,1,0
G.J1,3,0,F2,1,ISIC,1,44,1995,2,1
G.J1,1,1,F2,0,ISIC,1,37,1995,2,0
G.J1,3,3,F2,3,ISIC,0,40,1995,2,0
G.J1,1,6,F2,0,ISIC,1,26,1995,2,0
G.J1,4,0,F2,3,ISIC,0,44,1995,3,1
